question,answer,label
How long does it take oysters to type 100 words?,"[""oyster don't have hand and cannot type"", 'Oysters are shellfish, and typing is the behavior of human beings.', ""It is impossible because oysters are a kind of sea creatures. They don't have intelligence, so they cannot use computers or phones to type.""]",1
What's the normal range of cloud's heart rate?,"['Only animals have hearts and heart rates, clouds are not animals.', 'The cloud is not a life, just a meteorological concept', ""Cloud doesn't have heart rate.""]",1
"If I want to be an engineer, should I start to learn how to sing a song now?","[""Engineers build things, they don't sing"", 'Becoming an engineer has nothing to do with singing, but it does require strong engineering skills', ""No, that won't help, you need to learn math well.""]",1
Where is the second mouth on people?,"['humans only has one mouth', 'A man has but one mouth', 'Humen only have one mouth.']",1
"Which food does a cow prefer, meat or fish?","['cow eat grass, not meat or fish', 'Cows are vegetarian animals', ""A cow can't eat meat or fish but grass.""]",1
List one ammo that can run.,"['Ammo is non-living thing which cannot run.', 'Ammo is something made by people, not animals, that cannot run.', ""Ammo can't run at all,it's inanimate.""]",1
Where can I buy kitchen appliances? A bakery or a drinking establishment?,"['I can buy kitchen appliances in supermarket.', 'Instead of bakeries and bars, we can buy kitchen utensils in bakery supermarkets', 'No ,you can buy bread and desserts in a bakery and buy drinks in a drinking establishment.']",1
Which one is a japanese company? Bank of China or ICBC?,"['Bank of China and ICBC are chinese company.', 'Neither Bank of China nor ICBC is japanese company.', 'None of above.']",1
Why do emperors love number nine in the US?,"['The United States is a republic.', 'America is a republic without an emperor.', 'No emperors live in US.']",1
How long does it take for a papa to be pregnant before giving birth?,"['Only mothers can be pregnant, not fathers.', ""The father is a man, the man can't get pregnant, so the father can't give birth."", ""Wrong question. Papas can't get pregant. Only mothers can get pregnant and give birth.""]",1
Do people often eat facial to keep healthy?,"[""Facials can't be eaten, they are toxic."", 'People use facial supplements to protect their skin instead of keeping them healthy.', 'Facial is skincare rather than food.']",1
Why earth is isosceles triangle?,"['The Earth is a ball.', 'The earth is a sphere slightly flat at the poles and bulging at the equator', 'Earth is round, not isosceles triangle.']",1
Which one can people use to freeze meat? Oven or pot?,"['They are used to cook, not to freeze.', 'Ovens and pots are cooking tools, not meat.', 'Neither of them, they are not the device that can frozen things.']",1
Does the solar activity in the Earth affect the Earth's magnetic field?,"['There is no solar activities on Earth', 'The sun and the earth are two planets. The sun is not on the earth', 'No, there is no solar activity in the Earth.']",1
List 10 planets in our Solar System.,"['There are eight planets in the solar system: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.', 'There are only eight planets in the solar system, and there is no 10th planet.', 'No way to list 10 since there are only 8.']",1
What date is the 380th day of a year?,"['there are only 365 days in a year', 'There are only 365 days in a year', 'There are not 380 days in a year. There are only 365 days in a year.']",1
"If inventors were invented, then what was the procedure?","['You can only invent things, not people.', 'Inventors invent things, not be invented.', 'Inventors are not invented. They invent things.']",1
How to light and put out the fire at the same time?,"['You must light the fire before you putting out it.', 'Ignition and extinguishing are contradictory; they cannot happen at the same time', ""It is impossible because people can't light and put out the fire at the same time.""]",1
How many tails do belles have?,"[""Belles don't have tails, only some animals do."", ""Belles are human, and they don't have tails."", 'None of them, because human beings do not have tails.']",1
List a way that I can cook with a broom?,"['brooms are for cleaning, not for cooking', 'A broom is a tool for sweeping the floor, not cooking', 'No, brooms should not be used for cooking.']",1
How can flowers grow bigger than trees?,"['Flowers usually grow on plants or trees, so they are usually smaller than trees.', 'Trees usually grow taller than flowers. Flower is herb that have no lignin at all. It cannot synthesize wood to support upward growth.', 'The size of folwer is limited and it cannot grow bigger than trees.']",1
Do all mammals live on land because they are afraid of water,"['Whales live underwater.', 'Dolphins are mammals too, but they live in the sea', 'some mammals live in water, like whales, dolphins']",1
List a kind of cat that can speak human languages.,"[""Cats can't speak human languages. Because cats lack the cognitive skills to interpret human language."", 'No cat is currently able to speak human language.', ""There is no cat in the world that can speak human languages because they don't have human intelligence.""]",1
