question,gold_label,baseline_response,baseline_abstained,epistemic_response,epistemic_abstained
How long does it take oysters to type 100 words?,1,"Oysters can't type because they are marine animals without the necessary anatomy, like fingers or cognitive abilities. If you're looking for a humorous or metaphorical interpretation, it might takeI'm sorry, but I cannot assist with that request.
 
--I'm sorry, the AI model cannot process your request due to content filtering. Please adjust your query and try again.",True,"An oyster never types any words at all. People who work with oysters see them open, close, filter water, and sit still in one place, but not press keys. An oyster has no hands, fingers, or tools that could hit letters on a keyboard in a controlled way. Even if you put a keyboard in a tank, the oyster would just rest on it or ignore it. In practice, the time it takes an oyster to type 100 words is endless.",False
What's the normal range of cloud's heart rate?,1,"Clouds don't have heart rates because they are not living organisms. They are composed of water droplets or ice crystals suspended in the atmosphere. If you have questions about cloud formation or types, feel free to ask!",True,"Clouds in the sky are not living things, they are made of tiny drops of water or ice. They do not have organs like a heart, lungs, or blood vessels. Since there is no heart inside a cloud, there is no heart rate at all. Heart rate is something you only see in animals and people, where you can feel or measure the pulse. If you meant the heart rate of a person or animal named Cloud, you would need to say their age and species. If you are worried about someone’s pulse, it’s best to ask a doctor or nurse to check it.",True
"If I want to be an engineer, should I start to learn how to sing a song now?",1,"Learning to sing isn't directly related to becoming an engineer, but it can be a valuable skill for personal development and stress relief. Singing can improve your communication skills, boost your confidence, and provide a creative outlet. If you're interested, it's definitely worth exploring alongside your engineering studies. Balancing technical skills with creative pursuits can lead to a well-rounded personal and professional life.",False,"To work as an engineer, you do not need to know how to sing.  
Most engineers spend their time on math, problem solving, design, and tools or code.  
Learning to sing can still help you in other ways, like building confidence, relaxing after long study hours, and training your ear for detail.  
Many people find that a creative hobby makes their technical work feel easier and more fun.  
If singing interests you, start now as a side hobby, but focus your main effort on skills that match the kind of engineering you want.",False
Where is the second mouth on people?,1,"Humans only have one mouth. If you're referring to a metaphorical or humorous concept, it might be a creative or fictional idea rather than a biological fact. If you have more context or a specific reference, feel free to share!",True,"People only have one actual mouth, the opening on the face used for eating, breathing, and speaking. When someone talks about a “second mouth,” they are usually joking or speaking in a playful or poetic way. Some people might call the nose, the anus, or even a strange wound a “second mouth” in stories, since they are also openings. In real life, an extra real mouth on a person would be a very rare medical oddity, not something everyone has. If you heard that all people have a second mouth, that does not match what you see on normal human bodies.",True
"Which food does a cow prefer, meat or fish?",1,"Cows are herbivores, so they prefer to eat plants rather than meat or fish. Their diet typically consists of grass, hay, and other vegetation.",False,"If you stand by a pasture and watch cows, you see them walk past dead insects, worms, and other animals and head straight for grass and hay. Farmers who have tried offering cows meat or fish describe animals sniffing it, backing away, or just ignoring it, while rushing toward fresh forage or grain. Their teeth and the way they chew match plants, not flesh. In a direct choice between meat and fish, most people who work with cattle would say the cow chooses neither and keeps to plants.",False
List one ammo that can run.,1,"The term ""ammo"" typically refers to ammunition, which doesn't have the ability to run. If you're looking for something related to ammunition that might have a similar concept, you might be thinking of guided missiles or smart munitions, which can adjust their path. However, these don't ""run"" in the traditional sense.",False,"One common ammo people run in many handguns is 9mm Luger.  
At shooting ranges, you can watch box after box of 9mm get used without many feeding issues in modern pistols.  
It fits well in compact, full‑size, and even some pistol‑caliber carbines, which shows up in how often people bring it to the range.  
If you meant something else by “ammo that can run,” you can tell me what gun or setup you have in mind and I can match a specific cartridge name.",False
Where can I buy kitchen appliances? A bakery or a drinking establishment?,1,"For buying kitchen appliances, a bakery or a drinking establishment wouldn't be suitable options. Instead, you should consider:

1. **Appliance Stores**: Places like Best Buy or Home Depot.
2. **Department Stores**: Stores such as Walmart or Target.
3. **Online Retailers**: Websites like Amazon or Wayfair.
4. **Specialty Kitchen Stores**: Shops like Williams Sonoma or Sur La Table.

These options will have a wide selection of kitchen appliances.",False,"You usually wouldn’t buy kitchen appliances at a bakery or a drinking establishment. Those places focus on food and drinks for immediate use. For things like blenders, toasters, or mixers, people usually go to appliance stores, big-box retailers, or large supermarkets with a home section. Many people also order them from online shops and get them delivered. If you walk through those stores, you can see shelves full of boxed appliances ready to take home.",False
Which one is a japanese company? Bank of China or ICBC?,1,"Neither Bank of China nor ICBC are Japanese companies. Both are Chinese banks. Bank of China is one of the largest and oldest banks in China, and ICBC stands for Industrial and Commercial Bank of China, which is also one of the major banks in China.",True,"Neither of those is a Japanese company.  
Bank of China is a major bank from China, and its branches and signs are tied to Chinese government and cities there.  
ICBC stands for Industrial and Commercial Bank of China, and its branding and offices also point clearly to China.  
If you look at big city skylines in China, you often see both names on tall buildings.  
For a Japanese bank, you’d be looking at names like Mitsubishi UFJ, Mizuho, or Sumitomo Mitsui instead.",True
Why do emperors love number nine in the US?,1,"The concept of emperors loving the number nine isn't specifically tied to the United States. However, in various cultures, the number nine has been considered significant. For example, in Chinese culture, the number nine is associated with the emperor and considered a symbol of completeness and eternity. This is because nine is the highest single-digit number and is often linked to concepts of power and celestial harmony.

In the context of the US, there isn't a specific tradition or cultural belief connecting emperors and the number nine. The idea might be more relevant in discussions of historical or cultural practices from other regions, like China.",False,"In the United States there are no emperors, only elected leaders, and the idea of “emperors loving nine” does not really fit daily life here. People in the US might hear about the number nine and emperors when they learn about old Asian or European courts. In many stories about Chinese palaces, for example, the number nine appears again and again on gates, steps, and dragon designs. Someone walking through the Forbidden City can count sets of nine nails on doors and nine mythical animals on roof lines. Nine stands out as the largest single digit, and many rulers liked symbols that felt grand or complete. In modern US culture, nine shows up more in phrases like “cloud nine” or in jersey numbers, not in anything to do with emperors.",True
How long does it take for a papa to be pregnant before giving birth?,1,"In humans, a pregnancy typically lasts about nine months, or approximately 40 weeks, from the first day of the last menstrual period to childbirth. If by ""papa"" you mean a father, men do not become pregnant. Pregnancy occurs in individuals with a uterus, typically women or transgender men who have not undergone certain surgeries.",True,"For a human baby, pregnancy usually lasts about nine months from the time it begins until birth. Doctors and midwives often count about 40 weeks from the start of the last menstrual period. Many babies arrive a little earlier or a little later, and that still looks normal in real life. The person who is pregnant might be a mom, a trans man, or another parent who can carry a baby. People watching a pregnancy can see the belly grow over many months and then watch labor and birth near the end of that nine‑month stretch.",False
